Offset-Description                                                                   
0000 - Double            2E65288A180 : 0.000036837183872E6528E08B0 : 0               
01F4 - 4 Bytes           2E65288A374 : 0               2E6528E0AA4 : 0               
01F8 - Pointer           2E65288A378 : P->2E652878FA0  2E6528E0AA8 : P->2E6527B4380  
0200 - Pointer           2E65288A380 : P->2E652878FA0  2E6528E0AB0 : P->2E6527B4380  
0208 - 4 Bytes           2E65288A388 : 0               2E6528E0AB8 : 0               
020C - 4 Bytes           2E65288A38C : 0               2E6528E0ABC : 0               
0210 - 4 Bytes           2E65288A390 : 0               2E6528E0AC0 : 0               
0214 - 4 Bytes           2E65288A394 : 0               2E6528E0AC4 : 0               
0218 - 4 Bytes           2E65288A398 : 0               2E6528E0AC8 : 0               
021C - 4 Bytes           2E65288A39C : 0               2E6528E0ACC : 0               
0220 - 4 Bytes           2E65288A3A0 : 0               2E6528E0AD0 : 0               
0224 - 4 Bytes           2E65288A3A4 : 0               2E6528E0AD4 : 0               
0228 - 4 Bytes           2E65288A3A8 : 0               2E6528E0AD8 : 0               
022C - 4 Bytes           2E65288A3AC : 0               2E6528E0ADC : 0               
0230 - Float             2E65288A3B0 : -0.4264984131   2E6528E0AE0 : 0               
0234 - 4 Bytes           2E65288A3B4 : 0               2E6528E0AE4 : 0               
0238 - 4 Bytes           2E65288A3B8 : 0               2E6528E0AE8 : 0               
023C - 4 Bytes           2E65288A3BC : 0               2E6528E0AEC : 0               
0240 - 4 Bytes           2E65288A3C0 : 0               2E6528E0AF0 : 0               
0244 - 4 Bytes           2E65288A3C4 : 0               2E6528E0AF4 : 0               
0248 - 4 Bytes           2E65288A3C8 : 0               2E6528E0AF8 : 0               
024C - 4 Bytes           2E65288A3CC : 0               2E6528E0AFC : 0               
0250 - 4 Bytes           2E65288A3D0 : 0               2E6528E0B00 : 0               
0254 - Double            2E65288A3D4 : -0.0078125      2E6528E0B04 : -0.0078125      
025C - Float             2E65288A3DC : -1              2E6528E0B0C : -1              
0260 - Float             2E65288A3E0 : -1              2E6528E0B10 : -1              
0264 - Float             2E65288A3E4 : -1              2E6528E0B14 : -1              
0268 - Float             2E65288A3E8 : 0.1358108521    2E6528E0B18 : 0               
026C - 4 Bytes           2E65288A3EC : 4294967295      2E6528E0B1C : 4294967295      
0270 - Pointer           2E65288A3F0 : P->2E652878FA0  2E6528E0B20 : P->2E6527B4380  
0278 - 4 Bytes           2E65288A3F8 : 1               2E6528E0B28 : 1               
027C - 4 Bytes           2E65288A3FC : 0               2E6528E0B2C : 0               
0280 - 4 Bytes           2E65288A400 : 0               2E6528E0B30 : 0               
0284 - 4 Bytes           2E65288A404 : 0               2E6528E0B34 : 0               
0288 - 4 Bytes           2E65288A408 : 0               2E6528E0B38 : 0               
028C - 4 Bytes           2E65288A40C : 0               2E6528E0B3C : 0               
0290 - 4 Bytes           2E65288A410 : 0               2E6528E0B40 : 0               
0294 - 4 Bytes           2E65288A414 : 0               2E6528E0B44 : 0               
0298 - 4 Bytes           2E65288A418 : 0               2E6528E0B48 : 0               
029C - Double            2E65288A41C : -0.00544929504392E6528E0B4C : 0               
02A4 - 4 Bytes           2E65288A424 : 0               2E6528E0B54 : 0               
02A8 - 4 Bytes           2E65288A428 : 0               2E6528E0B58 : 0               
02AC - 4 Bytes           2E65288A42C : 0               2E6528E0B5C : 0               
02B0 - 4 Bytes           2E65288A430 : 0               2E6528E0B60 : 0               
02B4 - 4 Bytes           2E65288A434 : 0               2E6528E0B64 : 0               
02B8 - 4 Bytes           2E65288A438 : 0               2E6528E0B68 : 0               
02BC - 4 Bytes           2E65288A43C : 0               2E6528E0B6C : 0               
02C0 - 4 Bytes           2E65288A440 : 0               2E6528E0B70 : 0               
02C4 - Double            2E65288A444 : -0.0078125      2E6528E0B74 : -0.0078125      
02CC - Float             2E65288A44C : -1              2E6528E0B7C : -1              
02D0 - Float             2E65288A450 : -1              2E6528E0B80 : -1              
02D4 - Float             2E65288A454 : -1              2E6528E0B84 : -1              
02D8 - Float             2E65288A458 : 0.557434082     2E6528E0B88 : 0               
02DC - 4 Bytes           2E65288A45C : 4294967295      2E6528E0B8C : 4294967295      
02E0 - Pointer           2E65288A460 : P->2E652878FA0  2E6528E0B90 : P->2E6527B4380  
02E8 - 4 Bytes           2E65288A468 : 2               2E6528E0B98 : 2               
02EC - 4 Bytes           2E65288A46C : 0               2E6528E0B9C : 0               
02F0 - 4 Bytes           2E65288A470 : 0               2E6528E0BA0 : 0               
02F4 - 4 Bytes           2E65288A474 : 0               2E6528E0BA4 : 0               
02F8 - 4 Bytes           2E65288A478 : 0               2E6528E0BA8 : 0               
02FC - 4 Bytes           2E65288A47C : 0               2E6528E0BAC : 0               
0300 - 4 Bytes           2E65288A480 : 0               2E6528E0BB0 : 0               
0304 - 4 Bytes           2E65288A484 : 0               2E6528E0BB4 : 0               
0308 - 4 Bytes           2E65288A488 : 0               2E6528E0BB8 : 0               
030C - Double            2E65288A48C : -0.00004126876592E6528E0BBC : 0               
0314 - 4 Bytes           2E65288A494 : 0               2E6528E0BC4 : 0               
0318 - 4 Bytes           2E65288A498 : 0               2E6528E0BC8 : 0               
031C - 4 Bytes           2E65288A49C : 0               2E6528E0BCC : 0               
0320 - 4 Bytes           2E65288A4A0 : 0               2E6528E0BD0 : 0               
0324 - 4 Bytes           2E65288A4A4 : 0               2E6528E0BD4 : 0               
0328 - 4 Bytes           2E65288A4A8 : 0               2E6528E0BD8 : 0               
032C - 4 Bytes           2E65288A4AC : 0               2E6528E0BDC : 0               
0330 - 4 Bytes           2E65288A4B0 : 0               2E6528E0BE0 : 0               
0334 - Double            2E65288A4B4 : -0.0078125      2E6528E0BE4 : -0.0078125      
033C - Float             2E65288A4BC : -1              2E6528E0BEC : -1              
0340 - Float             2E65288A4C0 : -1              2E6528E0BF0 : -1              
0344 - Float             2E65288A4C4 : -1              2E6528E0BF4 : -1              
0348 - Float             2E65288A4C8 : -0.2151222229   2E6528E0BF8 : 0               
034C - 4 Bytes           2E65288A4CC : 4294967295      2E6528E0BFC : 4294967295      
0350 - Float             2E65288A4D0 : 1000            2E6528E0C00 : 1000            
0354 - Float             2E65288A4D4 : 1000            2E6528E0C04 : 1000            
0358 - Float             2E65288A4D8 : -0.3582077026   2E6528E0C08 : 0               
035C - 4 Bytes           2E65288A4DC : 0               2E6528E0C0C : 0               
0360 - 4 Bytes           2E65288A4E0 : 0               2E6528E0C10 : 0               
0364 - 4 Bytes           2E65288A4E4 : 0               2E6528E0C14 : 0               
0368 - 4 Bytes           2E65288A4E8 : 0               2E6528E0C18 : 0               
036C - 4 Bytes           2E65288A4EC : 0               2E6528E0C1C : 0               
0370 - 4 Bytes           2E65288A4F0 : 0               2E6528E0C20 : 0               
0374 - 4 Bytes           2E65288A4F4 : 0               2E6528E0C24 : 0               
0378 - 4 Bytes           2E65288A4F8 : 0               2E6528E0C28 : 0               
037C - Double            2E65288A4FC : -0.0078125      2E6528E0C2C : -0.0078125      
0384 - Float             2E65288A504 : -1              2E6528E0C34 : -1              
0388 - Float             2E65288A508 : -1              2E6528E0C38 : -1              
038C - Float             2E65288A50C : -1              2E6528E0C3C : -1              
0390 - Float             2E65288A510 : -0.6018981934   2E6528E0C40 : 0               
0394 - 4 Bytes           2E65288A514 : 3               2E6528E0C44 : 3               
0398 - 4 Bytes           2E65288A518 : 0               2E6528E0C48 : 0               
039C - 4 Bytes           2E65288A51C : 0               2E6528E0C4C : 0               
03A0 - 4 Bytes           2E65288A520 : 0               2E6528E0C50 : 0               
03A4 - Float             2E65288A524 : 0.05541419983   2E6528E0C54 : 0               
03A8 - Pointer           2E65288A528 : P->2E652878FA0  2E6528E0C58 : P->2E6527B4380  
03B0 - Float             2E65288A530 : -0.9772796631   2E6528E0C60 : 0               
03B4 - 4 Bytes           2E65288A534 : 0               2E6528E0C64 : 0               
03B8 - 4 Bytes (Hex)     2E65288A538 : 01AF01AF        2E6528E0C68 : BE65BE65        
03BC - 4 Bytes (Hex)     2E65288A53C : 00010001        2E6528E0C6C : 00000001        
03C0 - 4 Bytes           2E65288A540 : 1               2E6528E0C70 : 0               
03C4 - 4 Bytes           2E65288A544 : 0               2E6528E0C74 : 0               
03C8 - 4 Bytes           2E65288A548 : 130             2E6528E0C78 : 2               
03CC - 4 Bytes           2E65288A54C : 0               2E6528E0C7C : 255             
03D0 - 4 Bytes (Hex)     2E65288A550 : 00FF1388        2E6528E0C80 : 00FF1388        
03D4 - 4 Bytes           2E65288A554 : 0               2E6528E0C84 : 0               
03D8 - 4 Bytes           2E65288A558 : 7               2E6528E0C88 : 0               
03DC - 4 Bytes (Hex)     2E65288A55C : 979D9801        2E6528E0C8C : 00000000        
03E0 - 4 Bytes           2E65288A560 : 27              2E6528E0C90 : 42              
03E4 - 4 Bytes           2E65288A564 : 0               2E6528E0C94 : 0               
03E8 - 4 Bytes (Hex)     2E65288A568 : 0000750D        2E6528E0C98 : FFFFFFFF        
03EC - 4 Bytes           2E65288A56C : 70              2E6528E0C9C : 0               
03F0 - 4 Bytes (Hex)     2E65288A570 : 00030582        2E6528E0CA0 : 00000000        
03F4 - 4 Bytes           2E65288A574 : 4294967295      2E6528E0CA4 : 4294967295      
03F8 - 4 Bytes           2E65288A578 : 0               2E6528E0CA8 : 0               
03FC - 4 Bytes           2E65288A57C : 0               2E6528E0CAC : 0               
0400 - 4 Bytes           2E65288A580 : 4294967295      2E6528E0CB0 : 4294967295      
0404 - 4 Bytes           2E65288A584 : 0               2E6528E0CB4 : 0               
0408 - 4 Bytes           2E65288A588 : 0               2E6528E0CB8 : 0               
040C - 4 Bytes           2E65288A58C : 4294967295      2E6528E0CBC : 4294967295      
0410 - 4 Bytes           2E65288A590 : 0               2E6528E0CC0 : 0               
0414 - 4 Bytes           2E65288A594 : 0               2E6528E0CC4 : 0               
0418 - 4 Bytes           2E65288A598 : 4294967295      2E6528E0CC8 : 4294967295      
041C - 4 Bytes           2E65288A59C : 0               2E6528E0CCC : 0               
0420 - 4 Bytes           2E65288A5A0 : 0               2E6528E0CD0 : 0               
0424 - 4 Bytes           2E65288A5A4 : 4294967295      2E6528E0CD4 : 4294967295      
0428 - 4 Bytes           2E65288A5A8 : 0               2E6528E0CD8 : 0               
042C - 4 Bytes           2E65288A5AC : 0               2E6528E0CDC : 0               
0430 - 4 Bytes           2E65288A5B0 : 4294967295      2E6528E0CE0 : 4294967295      
0434 - 4 Bytes           2E65288A5B4 : 0               2E6528E0CE4 : 0               
0438 - 4 Bytes           2E65288A5B8 : 0               2E6528E0CE8 : 0               
043C - 4 Bytes           2E65288A5BC : 0               2E6528E0CEC : 0               
0440 - 4 Bytes (Hex)     2E65288A5C0 : 57FB57FB        2E6528E0CF0 : 00000000        
0444 - 4 Bytes (Hex)     2E65288A5C4 : 00010001        2E6528E0CF4 : 00000000        
0448 - 4 Bytes           2E65288A5C8 : 1               2E6528E0CF8 : 0               
044C - 4 Bytes           2E65288A5CC : 0               2E6528E0CFC : 0               
0450 - 4 Bytes           2E65288A5D0 : 130             2E6528E0D00 : 2               
0454 - 4 Bytes           2E65288A5D4 : 0               2E6528E0D04 : 255             
0458 - 4 Bytes (Hex)     2E65288A5D8 : 00FF1388        2E6528E0D08 : 00FF1388        
045C - 4 Bytes           2E65288A5DC : 0               2E6528E0D0C : 0               
0460 - 4 Bytes           2E65288A5E0 : 16              2E6528E0D10 : 0               
0464 - 4 Bytes (Hex)     2E65288A5E4 : 27AF27C1        2E6528E0D14 : 00000000        
0468 - 4 Bytes           2E65288A5E8 : 36              2E6528E0D18 : 4294967295      
046C - 4 Bytes           2E65288A5EC : 0               2E6528E0D1C : 4294967295      
0470 - 4 Bytes (Hex)     2E65288A5F0 : 0000750D        2E6528E0D20 : FFFFFFFF        
0474 - 4 Bytes           2E65288A5F4 : 70              2E6528E0D24 : 0               
0478 - 4 Bytes (Hex)     2E65288A5F8 : 00030384        2E6528E0D28 : 00000000        
047C - 4 Bytes           2E65288A5FC : 4294967295      2E6528E0D2C : 4294967295      
0480 - 4 Bytes           2E65288A600 : 0               2E6528E0D30 : 0               
0484 - 4 Bytes           2E65288A604 : 0               2E6528E0D34 : 0               
0488 - 4 Bytes           2E65288A608 : 4294967295      2E6528E0D38 : 4294967295      
048C - 4 Bytes           2E65288A60C : 0               2E6528E0D3C : 0               
0490 - 4 Bytes           2E65288A610 : 0               2E6528E0D40 : 0               
0494 - 4 Bytes           2E65288A614 : 4294967295      2E6528E0D44 : 4294967295      
0498 - 4 Bytes           2E65288A618 : 0               2E6528E0D48 : 0               
049C - 4 Bytes           2E65288A61C : 0               2E6528E0D4C : 0               
04A0 - 4 Bytes           2E65288A620 : 4294967295      2E6528E0D50 : 4294967295      
04A4 - 4 Bytes           2E65288A624 : 0               2E6528E0D54 : 0               
04A8 - 4 Bytes           2E65288A628 : 0               2E6528E0D58 : 0               
04AC - 4 Bytes           2E65288A62C : 4294967295      2E6528E0D5C : 4294967295      
04B0 - 4 Bytes           2E65288A630 : 0               2E6528E0D60 : 0               
04B4 - 4 Bytes           2E65288A634 : 0               2E6528E0D64 : 0               
04B8 - 4 Bytes           2E65288A638 : 4294967295      2E6528E0D68 : 4294967295      
04BC - 4 Bytes           2E65288A63C : 0               2E6528E0D6C : 0               
04C0 - 4 Bytes           2E65288A640 : 0               2E6528E0D70 : 0               
04C4 - Float             2E65288A644 : -0.1542716473   2E6528E0D74 : 0               
04C8 - 4 Bytes           2E65288A648 : 0               2E6528E0D78 : 0               
04CC - 4 Bytes           2E65288A64C : 0               2E6528E0D7C : 0               
04D0 - 4 Bytes           2E65288A650 : 0               2E6528E0D80 : 0               
04D4 - 4 Bytes           2E65288A654 : 0               2E6528E0D84 : 0               
04D8 - 4 Bytes           2E65288A658 : 2               2E6528E0D88 : 2               
04DC - 4 Bytes           2E65288A65C : 255             2E6528E0D8C : 255             
04E0 - 4 Bytes (Hex)     2E65288A660 : 00FF1388        2E6528E0D90 : 00FF1388        
04E4 - 4 Bytes           2E65288A664 : 0               2E6528E0D94 : 0               
04E8 - 4 Bytes           2E65288A668 : 0               2E6528E0D98 : 0               
04EC - 4 Bytes           2E65288A66C : 0               2E6528E0D9C : 0               
04F0 - 4 Bytes           2E65288A670 : 4294967295      2E6528E0DA0 : 4294967295      
04F4 - 4 Bytes           2E65288A674 : 4294967295      2E6528E0DA4 : 4294967295      
04F8 - 4 Bytes           2E65288A678 : 4294967295      2E6528E0DA8 : 4294967295      
04FC - 4 Bytes           2E65288A67C : 0               2E6528E0DAC : 0               
0500 - 4 Bytes           2E65288A680 : 0               2E6528E0DB0 : 0               
0504 - 4 Bytes           2E65288A684 : 4294967295      2E6528E0DB4 : 4294967295      
0508 - 4 Bytes           2E65288A688 : 0               2E6528E0DB8 : 0               
050C - 4 Bytes           2E65288A68C : 0               2E6528E0DBC : 0               
0510 - 4 Bytes           2E65288A690 : 4294967295      2E6528E0DC0 : 4294967295      
0514 - 4 Bytes           2E65288A694 : 0               2E6528E0DC4 : 0               
0518 - 4 Bytes           2E65288A698 : 0               2E6528E0DC8 : 0               
051C - 4 Bytes           2E65288A69C : 4294967295      2E6528E0DCC : 4294967295      
0520 - 4 Bytes           2E65288A6A0 : 0               2E6528E0DD0 : 0               
0524 - 4 Bytes           2E65288A6A4 : 0               2E6528E0DD4 : 0               
0528 - 4 Bytes           2E65288A6A8 : 4294967295      2E6528E0DD8 : 4294967295      
052C - 4 Bytes           2E65288A6AC : 0               2E6528E0DDC : 0               
0530 - 4 Bytes           2E65288A6B0 : 0               2E6528E0DE0 : 0               
0534 - 4 Bytes           2E65288A6B4 : 4294967295      2E6528E0DE4 : 4294967295      
0538 - 4 Bytes           2E65288A6B8 : 0               2E6528E0DE8 : 0               
053C - 4 Bytes           2E65288A6BC : 0               2E6528E0DEC : 0               
0540 - 4 Bytes           2E65288A6C0 : 4294967295      2E6528E0DF0 : 4294967295      
0544 - 4 Bytes           2E65288A6C4 : 0               2E6528E0DF4 : 0               
0548 - 4 Bytes           2E65288A6C8 : 0               2E6528E0DF8 : 0               
054C - 4 Bytes           2E65288A6CC : 0               2E6528E0DFC : 0               
0550 - 4 Bytes (Hex)     2E65288A6D0 : CFD1CFD1        2E6528E0E00 : 00000000        
0554 - 4 Bytes (Hex)     2E65288A6D4 : 00010001        2E6528E0E04 : 00000000        
0558 - 4 Bytes           2E65288A6D8 : 1               2E6528E0E08 : 0               
055C - 4 Bytes           2E65288A6DC : 0               2E6528E0E0C : 0               
0560 - 4 Bytes           2E65288A6E0 : 128             2E6528E0E10 : 2               
0564 - 4 Bytes           2E65288A6E4 : 0               2E6528E0E14 : 255             
0568 - 4 Bytes (Hex)     2E65288A6E8 : 00FF1388        2E6528E0E18 : 00FF1388        
056C - 4 Bytes           2E65288A6EC : 0               2E6528E0E1C : 0               
0570 - 4 Bytes           2E65288A6F0 : 0               2E6528E0E20 : 0               
0574 - Byte              2E65288A6F4 : 129             2E6528E0E24 : 0               
0575 - Byte              2E65288A6F5 : 38              2E6528E0E25 : 0               
0576 - Byte              2E65288A6F6 : 117             2E6528E0E26 : 0               
0577 - Byte              2E65288A6F7 : 38              2E6528E0E27 : 0               
0578 - 4 Bytes           2E65288A6F8 : 1               2E6528E0E28 : 4294967295      
057C - 4 Bytes           2E65288A6FC : 0               2E6528E0E2C : 4294967295      
0580 - 4 Bytes (Hex)     2E65288A700 : 0000D904        2E6528E0E30 : FFFFFFFF        
0584 - 4 Bytes           2E65288A704 : 42              2E6528E0E34 : 0               
0588 - 4 Bytes (Hex)     2E65288A708 : 00030096        2E6528E0E38 : 00000000        
058C - 4 Bytes           2E65288A70C : 4294967295      2E6528E0E3C : 4294967295      
0590 - 4 Bytes           2E65288A710 : 0               2E6528E0E40 : 0               
0594 - 4 Bytes           2E65288A714 : 0               2E6528E0E44 : 0               
0598 - 4 Bytes           2E65288A718 : 4294967295      2E6528E0E48 : 4294967295      
059C - 4 Bytes           2E65288A71C : 0               2E6528E0E4C : 0               
05A0 - 4 Bytes           2E65288A720 : 0               2E6528E0E50 : 0               
05A4 - 4 Bytes           2E65288A724 : 4294967295      2E6528E0E54 : 4294967295      
05A8 - 4 Bytes           2E65288A728 : 0               2E6528E0E58 : 0               
05AC - 4 Bytes           2E65288A72C : 0               2E6528E0E5C : 0               
05B0 - 4 Bytes           2E65288A730 : 4294967295      2E6528E0E60 : 4294967295      
05B4 - 4 Bytes           2E65288A734 : 0               2E6528E0E64 : 0               
05B8 - 4 Bytes           2E65288A738 : 0               2E6528E0E68 : 0               
05BC - 4 Bytes           2E65288A73C : 4294967295      2E6528E0E6C : 4294967295      
05C0 - 4 Bytes           2E65288A740 : 0               2E6528E0E70 : 0               
05C4 - 4 Bytes           2E65288A744 : 0               2E6528E0E74 : 0               
05C8 - 4 Bytes           2E65288A748 : 4294967295      2E6528E0E78 : 4294967295      
05CC - 4 Bytes           2E65288A74C : 0               2E6528E0E7C : 0               
05D0 - 4 Bytes           2E65288A750 : 0               2E6528E0E80 : 0               
05D4 - Float             2E65288A754 : -0.132651031    2E6528E0E84 : 0               
05D8 - 4 Bytes (Hex)     2E65288A758 : FA1CFA1C        2E6528E0E88 : 00000000        
05DC - 4 Bytes (Hex)     2E65288A75C : 00010001        2E6528E0E8C : 00000000        
05E0 - 4 Bytes           2E65288A760 : 1               2E6528E0E90 : 0               
05E4 - 4 Bytes           2E65288A764 : 0               2E6528E0E94 : 0               
05E8 - 4 Bytes           2E65288A768 : 128             2E6528E0E98 : 2               
